Date,Price,Open,High,Low,Vol.,Change %
2019-03-11,5.10,5.05,5.14,5.05,2.03M,0.00%
2019-03-08,5.10,5.10,5.16,5.08,3.06M,-0.78%
2019-03-07,5.14,5.11,5.18,5.11,774.70K,0.19%
2019-03-06,5.13,5.09,5.15,5.09,939.90K,0.79%
2019-03-05,5.09,5.11,5.16,5.06,1.95M,-0.39%
2019-03-04,5.11,5.05,5.17,5.05,2.20M,0.00%
2019-03-01,5.11,5.03,5.16,5.03,2.20M,0.20%
2019-02-28,5.10,5.16,5.16,5.03,3.78M,0.20%
2019-02-27,5.09,5.14,5.23,5.01,1.35M,-2.86%
2019-02-26,5.24,5.27,5.27,5.19,1.68M,-0.38%
2019-02-25,5.26,5.29,5.29,5.15,2.80M,0.38%
2019-02-22,5.24,5.32,5.32,5.16,1.76M,-0.57%
2019-02-21,5.27,5.21,5.29,5.21,6.65M,-0.19%
2019-02-20,5.28,5.22,5.32,5.21,8.70M,2.33%
2019-02-19,5.16,5.16,5.20,5.14,5.32M,0.00%
2019-02-18,5.16,5.16,5.17,5.15,2.19M,0.00%
2019-02-15,5.16,5.16,5.16,5.07,1.79M,0.78%
2019-02-14,5.12,5.11,5.16,5.10,2.53M,-0.39%
2019-02-13,5.14,5.12,5.17,5.12,2.89M,0.19%
2019-02-12,5.13,5.18,5.18,5.10,2.96M,0.39%
2019-02-11,5.11,5.11,5.14,5.09,2.69M,-0.97%
2019-02-08,5.16,5.18,5.18,5.14,2.72M,0.19%
2019-02-07,5.15,5.16,5.20,5.12,1.97M,0.19%
2019-02-04,5.14,5.17,5.17,5.09,477.50K,-0.58%
2019-01-31,5.17,5.20,5.20,5.14,5.07M,0.98%
2019-01-30,5.12,5.12,5.14,5.06,1.47M,0.20%
2019-01-29,5.11,5.16,5.16,5.03,3.12M,-1.35%
2019-01-28,5.18,5.20,5.20,5.15,3.14M,0.00%
2019-01-25,5.18,5.18,5.19,5.14,4.18M,0.58%
2019-01-24,5.15,5.15,5.16,5.14,2.84M,0.00%
2019-01-23,5.15,5.11,5.17,5.10,3.51M,-0.39%
2019-01-22,5.17,5.13,5.23,5.13,3.41M,1.17%
2019-01-18,5.11,4.95,5.12,4.95,3.25M,0.20%
2019-01-17,5.10,5.10,5.14,5.09,4.79M,0.20%
2019-01-16,5.09,5.01,5.10,5.01,6.65M,0.20%
2019-01-15,5.08,5.10,5.10,5.01,3.11M,-0.39%
2019-01-14,5.10,5.10,5.13,5.08,2.18M,0.00%
2019-01-11,5.10,5.07,5.10,5.02,5.96M,0.99%
2019-01-10,5.05,5.10,5.15,4.88,3.65M,0.40%
2019-01-09,5.03,5.03,5.07,4.95,6.98M,2.24%
2019-01-08,4.92,5.00,5.05,4.80,2.13M,-1.60%
2019-01-07,5.00,4.75,5.00,4.75,3.80M,4.17%
2019-01-04,4.80,4.71,4.80,4.68,629.70K,1.91%
2019-01-03,4.71,4.60,4.81,4.55,1.41M,3.52%
2019-01-02,4.55,4.65,4.74,4.51,2.44M,-4.41%
2018-12-31,4.76,4.83,4.91,4.76,2.28M,-0.42%
2018-12-28,4.78,4.70,4.81,4.64,1.39M,0.00%
2018-12-27,4.78,4.68,4.80,4.64,769.10K,3.69%
2018-12-26,4.61,4.53,4.68,4.53,1.01M,-0.43%
2018-12-24,4.63,4.74,4.74,4.53,667.30K,-3.34%
2018-12-21,4.79,4.38,4.82,4.28,6.45M,9.86%
2018-12-20,4.36,4.29,4.38,4.20,2.85M,-1.36%
2018-12-19,4.42,4.12,4.42,4.10,2.01M,8.07%
2018-12-18,4.09,4.25,4.25,3.95,3.62M,-4.88%
2018-12-17,4.30,4.34,4.41,4.23,1.56M,-2.93%
2018-12-14,4.43,4.48,4.48,4.38,2.40M,-0.67%
2018-12-13,4.46,4.48,4.48,4.42,2.39M,0.45%
2018-12-12,4.44,4.47,4.50,4.42,5.67M,0.00%
2018-12-11,4.44,4.40,4.55,4.40,1.84M,-0.89%
2018-12-10,4.48,4.63,4.65,4.44,3.82M,-4.48%
2018-12-07,4.69,4.67,4.72,4.63,6.31M,0.43%
2018-12-06,4.67,4.72,4.82,4.60,5.04M,-2.71%
2018-12-05,4.80,4.71,4.80,4.69,8.85M,0.00%
2018-12-04,4.80,4.91,4.91,4.77,4.04M,-2.24%
2018-12-03,4.91,4.76,4.91,4.71,4.66M,5.14%
2018-11-30,4.67,4.97,4.97,4.62,8.75M,-5.47%
2018-11-29,4.94,4.92,4.97,4.79,8.95M,1.44%
2018-11-28,4.87,5.05,5.05,4.78,7.55M,-2.40%
2018-11-27,4.99,5.06,5.07,4.90,4.65M,-0.80%
2018-11-26,5.03,5.11,5.13,5.01,2.64M,-2.33%
2018-11-23,5.15,5.14,5.16,5.11,4.62M,0.00%
2018-11-22,5.15,5.14,5.20,5.12,1.28M,-0.96%
2018-11-21,5.20,5.17,5.24,5.02,8.30M,-1.14%
2018-11-19,5.26,5.20,5.29,5.20,1.66M,0.57%
2018-11-16,5.23,5.28,5.29,5.19,1.44M,0.00%
2018-11-15,5.23,5.22,5.28,5.15,6.21M,0.19%
2018-11-14,5.22,5.12,5.24,5.10,3.92M,0.97%
2018-11-13,5.17,5.08,5.17,5.03,3.05M,0.78%
2018-11-12,5.13,5.17,5.19,5.07,1.83M,-1.72%
2018-11-09,5.22,5.17,5.23,5.13,3.77M,0.97%
2018-11-08,5.17,5.25,5.27,5.16,3.84M,0.00%
2018-11-07,5.17,5.27,5.29,5.16,4.39M,-1.52%
2018-11-05,5.25,5.36,5.36,5.18,1.96M,-0.19%
2018-11-02,5.26,5.26,5.34,5.23,960.20K,0.19%
2018-11-01,5.25,5.23,5.25,5.15,486.80K,0.38%
2018-10-31,5.23,5.07,5.26,5.07,3.47M,2.75%
2018-10-30,5.09,5.14,5.17,5.08,1.11M,-1.17%
2018-10-29,5.15,5.15,5.15,5.11,703.60K,0.00%
2018-10-26,5.15,5.15,5.15,5.11,1.56M,0.19%
2018-10-25,5.14,5.15,5.16,5.11,2.78M,-1.53%
2018-10-24,5.22,5.22,5.23,5.19,1.31M,0.97%
2018-10-23,5.17,5.16,5.23,5.15,2.38M,-0.58%
2018-10-22,5.20,5.19,5.23,5.19,883.70K,-0.95%
2018-10-19,5.25,5.06,5.27,5.04,3.04M,2.94%
2018-10-18,5.10,5.17,5.20,5.10,6.33M,-1.92%
2018-10-17,5.20,5.17,5.24,5.17,1.57M,0.58%
2018-10-16,5.17,5.15,5.21,5.15,4.67M,0.39%
2018-10-15,5.15,5.15,5.30,5.09,1.49M,-0.58%
2018-10-12,5.18,5.29,5.34,5.15,5.46M,-0.58%
2018-10-11,5.21,5.13,5.24,4.99,8.62M,0.00%
2018-10-10,5.21,5.32,5.32,5.14,4.98M,-0.57%
2018-10-09,5.24,5.23,5.24,5.21,780.50K,0.38%
2018-10-08,5.22,5.22,5.24,5.22,699.50K,0.00%
2018-10-05,5.22,5.22,5.26,5.18,6.88M,0.00%
